precio,expensas,metros,ambientes,banos,direccion,barrio
USD 324.706,,129 m² tot.,2 amb.,,Emilio Lamarca 3900 y Asunción,"Villa Devoto, Capital Federal"
USD 120.000,$ 150.000 Expensas,30 m² tot.,1 amb.,1 baño,Arenales al 3400,"Palermo, Capital Federal"
USD 249.900,,153 m² tot.,,,Muñecas 807,"Villa Crespo, Capital Federal"
USD 1.250.000,,2380 m² tot.,,,Ayacucho  al 300,"Balvanera, Capital Federal"
USD 160.000,$ 210.000 Expensas,112 m² tot.,4 amb.,3 baños,AV. Boyaca al 200 2°,"Flores, Capital Federal"
USD 149.000,,43 m² tot.,1 amb.,1 baño,Santos Dumont al 3400,"Colegiales, Capital Federal"
USD 330.000,$ 650.000 Expensas,210 m² tot.,10 amb.,3 baños,Viamonte  al 1400,"Recoleta, Capital Federal"
USD 350.000,$ 121.000 Expensas,147 m² tot.,4 amb.,3 baños,El Salvador e/ Julián Álvarez y Araoz,"Palermo Soho, Palermo"
USD 85.600,,32 m² tot.,1 amb.,1 baño,Avenida Francisco Beiró 3402,"Villa Devoto, Capital Federal"
USD 125.000,$ 955.500 Expensas,44 m² tot.,2 amb.,1 baño,plaza 2700,"Villa Urquiza, Capital Federal"
USD 68.000,$ 100.000 Expensas,34 m² tot.,1 amb.,1 baño,Belgrano Av. al 1300,"Monserrat, Capital Federal"
USD 114.000,$ 80.000 Expensas,40 m² tot.,2 amb.,1 baño,Salguero 3056,"Palermo Chico, Palermo"
USD 750.000,$ 700.000 Expensas,126 m² tot.,3 amb.,2 baños,Mexico al 55,"Puerto Madero, Capital Federal"
USD 82.000,$ 88.000 Expensas,32 m² tot.,1 amb.,1 baño,Doblas  al 500,"Caballito Sur, Caballito"
USD 60.000,$ 70.000 Expensas,25 m² tot.,2 amb.,1 baño,Riglos e/ Guayaquil y Formosa,"Caballito, Capital Federal"
USD 2.500.000,,1973 m² tot.,9 amb.,3 baños,Av Chiclana  al 4100,"Boedo, Capital Federal"
USD 630.000,,216 m² tot.,,,Forest 1200,"Colegiales, Capital Federal"
USD 180.000,$ 481.068 Expensas,54 m² tot.,3 amb.,1 baño,Ciudad de La Paz  al 1900,"Belgrano, Capital Federal"
USD 285.000,$ 250.000 Expensas,193 m² tot.,3 amb.,1 baño,Billinghurst al 2100,"Recoleta, Capital Federal"
USD 335.000,,64 m² tot.,2 amb.,2 baños,Santa Fe 5381,"Palermo Hollywood, Palermo"
USD 124.500,$ 75.000 Expensas,47 m² tot.,1 amb.,1 baño,Amenabar al 200,"Palermo Hollywood, Palermo"
USD 66.875,$ 1 Expensas,25 m² tot.,1 amb.,1 baño,Avenida Cordoba 4013,"Palermo, Capital Federal"
USD 339.000,$ 460.000 Expensas,118 m² tot.,4 amb.,2 baños,Guatemala 5500,"Palermo Hollywood, Palermo"
USD 1.250.000,$ 1.800.000 Expensas,270 m² tot.,7 amb.,4 baños,Libertador  al 2600,"Palermo Chico, Palermo"
USD 104.040,,37 m² tot.,1 amb.,1 baño,Av. Congreso  al 3100,"Coghlan, Capital Federal"
USD 68.000,$ 100.000 Expensas,18 m² tot.,1 amb.,1 baño,Coronel Diaz 2100,"Palermo, Capital Federal"
USD 199.000,,351 m² tot.,6 amb.,,GUARDIA NACIONAL 1600,"Mataderos, Capital Federal"
